name,v_nom,Nemotecnico,Nombre_corrected,x,y,FID_exposure,wkt_geom,FID,Name Node,taxonomy,bus,p_nom,carrier
774,110,SE001R003,S/E AGUA SANTA,262794.9996,6337263.017,87,Point (-71.54224161055236664 -33.07656976856169706),87,S/E AGUA SANTA,Substation,,,
774_220kV,220,SE001R003,S/E AGUA SANTA,262796.9996,6337263.017,224,,224,,Substation,,,
775,66,SE002R003,S/E ALGARROBO NORTE,257976.1,6308359.6,124,Point (-71.60039999999999338 -33.33673000000000286),124,S/E ALGARROBO NORTE,Substation,,,
776,220,SE003R003,S/E ALTO MELIPILLA,292515.9998,6269795.016,115,Point (-71.23813974600183485 -33.6912879639999403),115,S/E ALTO MELIPILLA,Substation,,,
776_110kV,110,SE003R003,S/E ALTO MELIPILLA 110 kV,292517.9998,6269795.016,225,,225,,Substation,,,
1692,110,SE057R003,S/E BOSQUEMAR,264628.098,6353314.399,104,Point (-71.51628790006209613 -32.93443261350063267),104,S/E BOSQUEMAR,Substation,,,
777,66,SE004R003,S/E CASABLANCA,274886.9997,6311147.017,106,Point (-71.41814671861725117 -33.31530799872499671),106,S/E CASABLANCA,Substation,,,
291,110,SE001G123,S/E CENTRAL COLMITO,268767.9997,6353736.017,9215,,9215,,Substation,,,
200,110,SE002G010,S/E CENTRAL LAGUNA VERDE,250127.9995,6334031.018,92,,92,,Substation,,,
200_66kV,66,SE002G010,S/E CENTRAL LAGUNA VERDE 66kV,250129.9995,6334031.018,226,,226,,Substation,,,
256,220,SE018G021,S/E CENTRAL QUINTERO,267168.9997,6369386.017,9217,,9217,,Substation,,,
1791,110,SE001G203,S/E CENTRAL SANTIAGO SOLAR,326482.8636,6338107.343,123,Point (-70.85834935218410635 -33.08144129935963207),123,S/E CENTRAL SANTIAGO SOLAR,Substation,,,
565,220,SE008T002,S/E CERRO NAVIA (TRANSELEC),339181,6300595.014,118,Point (-70.72971587881522737 -33.42196554162419631),118,S/E CERRO NAVIA (TRANSELEC),Boundary Substation,,,
780,110,SE007R003,S/E CONCON,268664.08,6353411.1,9219,,,,Substation,,,
