name,bus0,bus1,x,r,s_nom,Nemotecnico,Nombre,Nombre Linea,Nombre Tramo
57,207,206,4.07,0.90,162.82,LT010---------T048,VENTANAS - TORQUEMADA 110KV,VENTANAS - TORQUEMADA 110KV,VENTANAS - TORQUEMADA 110KV C1 Y C2
163,207,794,0.04,0.01,115.84,LT014CI1TR02T048ST01T048,VENTANAS - QUINTERO 110KV C1,VENTANAS - QUINTERO 110KV,VENTANAS - QUINTERO 110KV C1
213,207,956,0.78,0.26,82.88,LT012CI1TR02G010ST01G010,VENTANAS - GNL QUINTERO 110KV C1,VENTANAS - GNL QUINTERO 110KV,VENTANAS - GNL QUINTERO 110KV C1
395,1552,207,0.45,0.06,215.94,LT002---------T048,SAN PEDRO - VENTANAS 110KV,SAN PEDRO - VENTANAS 110KV,TAP CODELCO VENTANAS - VENTANAS 110KV C1 Y C2
395_B,204,1552,6.17,0.85,215.94,LT002---------T048,SAN PEDRO - VENTANAS 110KV,SAN PEDRO - VENTANAS 110KV,SAN PEDRO - TAP CODELCO VENTANAS 110KV C1 Y C2
53,206,788,2.68,0.59,162.82,LT001---------T048,TORQUEMADA - MIRAFLORES 110KV,TORQUEMADA - MIRAFLORES 110KV,TORQUEMADA - MIRAFLORES 110KV C1 Y C2
982,204,1757,7.12,2.90,87.65,LT035---------R003,SECCION 1- 2 y 3 DE 3 SAN PEDRO - PENABLANCA 110KV C2,SAN PEDRO - PENABLANCA 110KV,SECCION 1- 2 y 3 DE 3 SAN PEDRO - PENABLANCA 110KV C2
47_1,204,67,7.57,4.25,87.65,LT013---------R003-1,SAN PEDRO - TAP QUILPUE 110KV C1 SECCION 1  y 2 DE 2,SAN PEDRO - MIRAFLORES 110KV,SAN PEDRO - TAP QUILPUE 110KV C1 SECCION 1  y 2 DE 2
750,67,792,0.70,0.40,175.30,LT013---------R003 and LT036---------R003,TAP QUILPUE - QUILPUE 110KV C1 Y C2,SAN PEDRO - MIRAFLORES 110KV and PENABLANCA - MIRAFLORES 110KV,TAP QUILPUE - QUILPUE 110KV C1 Y C2
983_1,1757,67,6.83,2.78,87.65,LT036---------R003,SECCION 1 y 2 DE 2 PENABLANCA - TAP QUILPUE 110KV C2,PENABLANCA - MIRAFLORES 110KV,SECCION 1 y 2 DE 2 PENABLANCA - TAP QUILPUE 110KV C2
