name,bus,Name Node,FID,taxonomy,Assumption,p_factor,Load Name Database,Point of Connection,User Type
207,207,S/E VENTANAS,8000,Load,0,,VENTANAS______110,Ventanas 110,LIBRE
206,206,S/E TORQUEMADA,8001,Load,0,,TORQUEMADA____110,Torquemada 110,LIBRE
794,794,S/E QUINTERO,8002,Load,0,,QUINTERO______013--QUINTERO______013,Quintero 012--Quintero 012,LIBRE--REGULADO
956,956,S/E GNL QUINTERO,8003,Load,0,,QUINTERO______220,GNL Quintero 110,LIBRE
788,788,S/E MIRAFLORES,8004,Load,0,,MIRAFLORES____013--MIRAFLORES____013--MIRAFLORES2___013,Miraflores 13.2--Miraflores 13.2--Miraflores 13.2,LIBRE--REGULADO--REGULADO
204,204,S/E SAN PEDRO (AES GENER),8005,Load,0,,SANPEDRO______013--SANPEDRO______013--S.PEDRO_______013--S.PEDRO_______013,San Pedro 012--San Pedro 012--San Pedro CGET 015--San Pedro CGET 015,LIBRE--REGULADO--LIBRE--REGULADO
792,792,S/E QUILPUE,8006,Load,0,,QUILPUE_______013--QUILPUE_______013--QUILPUE_______110,Quilpue 012--Quilpue 012--Quilpue 110,LIBRE--REGULADO--LIBRE
1757,1757,S/E PENABLANCA,8007,Load,0,,PEÑABLANCA____013,Peñablanca 012,REGULADO
137,137,S/E MARGA MARGA,8008,Load,0,,MARGA_MARGA___013--MARGA_MARGA___013,Marga Marga 13.2--Marga Marga 13.2,LIBRE--REGULADO
795,795,S/E RENACA,8009,Load,0,,REÑACA________013--REÑACA________013,Reñaca 012--Reñaca 012,LIBRE--REGULADO
780,780,S/E CONCON,8010,Load,0,,CONCON________013--CONCON________013,Con Con 012--Con Con 012,LIBRE--REGULADO
787,787,S/E LOS PLACERES,8011,Load,0,,PLACERES______013--PLACERES______013,Placeres 012--Placeres 012,LIBRE--REGULADO
791,791,S/E PLAYA ANCHA,8012,Load,0,,P.ANCHA_______013--P.ANCHA_______013,Playa Ancha 13.8--Playa Ancha 13.8,LIBRE--REGULADO
793,793,S/E QUINTAY,8013,Load,0,,QUINTAY_______013,Quintay 012,REGULADO
775,775,S/E ALGARROBO NORTE,8014,Load,0,,ALGARR.NORTE__013,Tap Algarrobo Norte 012,REGULADO
777,777,S/E CASABLANCA,8015,Load,0,,CASABLANCA____013--CASABLANCA____013,Casablanca 012--Casablanca 012,LIBRE--REGULADO
802,802,S/E SAN SEBASTIAN,8016,Load,0,,S.SEBASTIAN___013,San Sebastian 012,REGULADO
798_110kV,798_110kV,S/E SAN ANTONIO 110 kV,8017,Load,0,,S.ANTONIO_____013--S.ANTONIO_____013,San Antonio 012--San Antonio 012,LIBRE--REGULADO
848,848,S/E SAN JERONIMO,8018,Load,0,,S.JERONIMO____013,San Jeronimo 13.8,REGULADO
847,847,S/E LAS PINATAS,8019,Load,0,,PIÑATAS_______013,Las Piñatas 13.8,REGULADO
846,846,S/E LAS BALANDRAS,8020,Load,0,,BALANDRAS_____013,Balandras 12.5,REGULADO
845,845,S/E EL TOTORAL,8021,Load,0,,TOTORAL_______013,El Totoral 12.5,REGULADO
643,643,S/E LEYDA,8022,Load,0,,LEYDA_________013--LEYDA_________013,Leyda 13.2--Leyda 13.2,LIBRE--REGULADO
776_110kV,776_110kV,S/E ALTO MELIPILLA 110 kV,8023,Load,0,,MELIPILLA_____013--MELIPILLA_____013,Melipilla 13.2--Melipilla 13.2,LIBRE--REGULADO
565,565,S/E CERRO NAVIA (TRANSELEC),8024,Load,0,,C.NAVIA_______220,Cerro Navia 220,LIBRE
711,711,S/E POLPAICO (ENEL DISTRIBUCION),8025,Load,0,,POLPAICO______023--POLPAICO______220--TAP_POLPAICO__066,Polpaico Chilectra 023--Polpaico 220--Tap Polpaico 066,REGULADO--LIBRE--LIBRE
586,586,S/E QUILLOTA,8026,Load,0,,QUILLOTA______220,Quillota 220,LIBRE
26T,26T,TAP BATUCO,8027,Load,0,,BATUCO________013--BATUCO________013,Batuco 023--Batuco 023,LIBRE--REGULADO
995,995,TAP OFF PUNTA PEUCO,8028,Load,0,,PPEUCO________110,Punta de Peuco 110,LIBRE
1990,1990,S/E LAS VEGAS (AES GENER),8029,Load,0,,L.VEGAS_______013--L.VEGAS_______013--L.VEGAS_______110,Las Vegas 012--Las Vegas 012--Las Vegas 110,LIBRE--REGULADO--LIBRE
1791,1791,S/E CENTRAL SANTIAGO SOLAR,8030,Load,1,0,,,
565_1,565,EQ SAN PABLO CERRO NAVIA,8031,Load,0,,SAN_PABLO_____013--SAN_PABLO_____013,San Pablo 023--San Pablo 023,LIBRE--REGULADO
565_2,565,EQ LO PRADO CERRO NAVIA,8032,Load,68.02,0.27,,,
995_1,995,EQ PRINCIPAL PLANTA TAP PUNTA PEUCO,8033,Load,24.23,0.27,,,
