name,v_nom,Nemotecnico,Name Node,x,y,FID,wkt_geom,taxonomy,bus,p_nom,carrier,Synchronous Reactance Xd - Ohms,Assumption,p_factor,Plant Name Database,Plant Name Database 2,Barra i,Barra j,Row,Line
161,,,COLMITO,268676.0007,6353715.971,13,Point (-71.47402399983266719 -32.93037199989884556),Power Plant,291,57.71,Diesel,5.625033333,1,0.95,Colmito GNL,Colmito Diesel,,,,
112,,,NUEVA VENTANAS,267351.4717,6373720.294,0,Point (-71.4823467562058994 -32.74918499402730987),Power Plant,240,248.99,Brown Coal,2.804029412,0,,Nueva Ventanas,,,,,
577,,,TER PLACILLA U1,261225.1163,6333821.44,278,,Power Plant,790,1.2,Diesel,0.361,1,0.95,Placilla,,,,,
578,,,TER PLACILLA U2,261225.1163,6333821.44,279,,Power Plant,790,1.2,Diesel,0.361,1,0.95,Placilla,,,,,
579,,,TER PLACILLA U3,261225.1163,6333821.44,280,,Power Plant,790,0.6,Diesel,0.722,1,0.95,Placilla,,,,,
580,,,TER QUINTAY U1,252104.2703,6322349.991,284,,Power Plant,793,1.2,Diesel,0.361,1,0.95,Quintay,,,,,
581,,,TER QUINTAY U2,252104.2703,6322349.991,285,,Power Plant,793,1.2,Diesel,0.361,1,0.95,Quintay,,,,,
582,,,TER QUINTAY U3,252104.2703,6322349.991,286,,Power Plant,793,0.6,Diesel,0.722,1,0.95,Quintay,,,,,
762,,,TER QUINTERO U1,267224.033,6369582.02,276,,Power Plant,256,127.104,Diesel,2.903736728,1,1,Quintero GNL A,,,,,
763,,,TER QUINTERO U2,267224.033,6369582.02,277,,Power Plant,256,128.097,Diesel,2.903736728,1,1,Quintero GNL B,,,,,
568,,,TER CONCON U1,268664.08,6353411.1,281,,Power Plant,780,1.1,Diesel,0.327994286,1,0.95,Concon,,,,,
569,,,TER CONCON U2,268664.08,6353411.1,282,,Power Plant,780,0.6,Diesel,0.430312,1,0.95,Concon,,,,,
570,,,TER CONCON U3,268664.08,6353411.1,283,,Power Plant,780,0.6,Diesel,0.430312,1,0.95,Concon,,,,,
236,,,CAMPICHE,267333.8449,6373888.096,266,,Power Plant,240,248.99,Brown Coal,2.811176471,0,,Campiche,,,,,
327,,,TER LAGUNA VERDE TV U1,250127,6334104,263,,Power Plant,200,15.08,Diesel,13.1875,1,0.95,L.Verde TV,,,,,
328,,,TER LAGUNA VERDE TV U2,250127,6334104,264,,Power Plant,200,23.497,Diesel,9.125,1,0.95,L.Verde TV,,,,,
741,,,LAGUNA VERDE TG,250164.9612,6334088.016,265,,Power Plant,200,23.497,Diesel,13.5424,1,0.95,L.Verde TG,,,,,
,,,EL SALTO,,,68,Point (-71.51702226881268132 -33.05071255741885494),Consumer,,,,,,,,,,,,
,,,SALINAS,,,29,Point (-71.50932751962668021 -33.01380959298430895),Consumer,,,,,,,,,,,,
,,,SAN ANTONIO,,,133,Point (-71.60232802228325966 -33.57471299370843809),Consumer,,,,,,,,,,,,
,,,SAN DIEGO,,,141,Point (-71.39100103537505504 -33.69623931908133585),Consumer,,,,,,,,,,,,
,,,SAN ISIDRO,,,152,Point (-71.21517896124572644 -32.90381111432234462),Consumer,,,,,,,,,,,,
,,,SAN JOSE,,,149,Point (-71.22521646822490027 -33.59788690226762498),Consumer,,,,,,,,,,,,
,,,SAN JUAN,,,136,Point (-71.61273629545210895 -33.65375119918739699),Consumer,,,,,,,,,,,,
,,,SAN PEDRO,,,177,Point (-71.22127904904142781 -32.95223889254521055),Consumer,,,,,,,,,,,,
,,,SANTA AUGUSTA,,,91,Point (-71.66750421007843386 -33.10615530478393964),Consumer,,,,,,,,,,,,
,,,SANTA EMILIA,,,153,Point (-71.10428243356911082 -33.47962973851235091),Consumer,,,,,,,,,,,,
,,,SANTO DOMINGO,,,138,Point (-71.54713078011808136 -33.57148722760917536),Consumer,,,,,,,,,,,,
,,,SANTOS OSSA,,,80,Point (-71.57796141837359016 -33.05897294221016125),Consumer,,,,,,,,,,,,
,,,SAUCE,,,60,Point (-71.6303362062649569 -33.0533021023431175),Consumer,,,,,,,,,,,,
,,,SAUSALITO,,,35,Point (-71.53044046689433344 -33.02176916234756021),Consumer,,,,,,,,,,,,
,,,SIMON BOLIVAR,,,67,Point (-71.5484424373528185 -33.04428356008924084),Consumer,,,,,,,,,,,,
,,,SIMON BOLIVAR - 1,,,83,Point (-71.56368033328524803 -33.0608927173543421),Consumer,,,,,,,,,,,,
,,,TABOLANGO,,,8,Point (-71.44092969440774255 -32.93323054749752288),Consumer,,,,,,,,,,,,
,,,TABOLANGO - 1,,,17,Point (-71.3922035567137101 -32.93470725986441039),Consumer,,,,,,,,,,,,
,,,TAPIHUE,,,160,Point (-71.28701379228600388 -33.30546646269837652),Consumer,,,,,,,,,,,,
,,,TOMAS RAMOS,,,42,Point (-71.65424652187847698 -33.04116078075136897),Consumer,,,,,,,,,,,,
,,,TOMAS RAMOS - 1,,,58,Point (-71.63608440544085454 -33.04306402865728387),Consumer,,,,,,,,,,,,
,,,TREMOLEN,,,137,Point (-71.54919448420093886 -33.64607162708063726),Consumer,,,,,,,,,,,,
,,,TUNQUEN,,,155,Point (-71.64661223772237975 -33.24944184092238686),Consumer,,,,,,,,,,,,
,,,URMENETA,,,178,Point (-71.27208501516862782 -32.98201718877822231),Consumer,,,,,,,,,,,,
,,,URUGUAY,,,62,Point (-71.61140892131192004 -33.05519313856375163),Consumer,,,,,,,,,,,,
,,,VILLA ALEMANA,,,57,Point (-71.38130766172314168 -33.04816872347834078),Consumer,,,,,,,,,,,,
,,,VILLA DULCE,,,37,Point (-71.49730770092959631 -33.03422271882773487),Consumer,,,,,,,,,,,,
,,,VILLANELO ALTO,,,49,Point (-71.56611389885932795 -33.03289882175231185),Consumer,,,,,,,,,,,,
,,,VINA DEL MAR ALTO,,,48,Point (-71.53031260055016105 -33.03961963512389843),Consumer,,,,,,,,,,,,
,,,VINA DEL MAR ALTO - 1,,,55,Point (-71.53428392566020477 -33.05500702723566775),Consumer,,,,,,,,,,,,
,,,VINA DEL MAR ALTO - 2,,,56,Point (-71.56188648764862137 -33.04298364909755747),Consumer,,,,,,,,,,,,
,,,WILSON,,,46,Point (-71.35296969749774121 -33.03733605507630244),Consumer,,,,,,,,,,,,
,,,ZANARTU,,,187,Point (-71.6900309834123135 -33.4046374682870848),Consumer,,,,,,,,,,,,
,,,ACAPULCO,,,30,Point (-71.55301316965488923 -33.01357757376030833),Consumer,,,,,,,,,,,,
,,,ACHUPALLAS,,,33,Point (-71.49296080849860857 -33.02382174747796029),Consumer,,,,,,,,,,,,
,,,AGUA SANTA,,,73,Point (-71.57658487949008475 -33.04443707955135778),Consumer,,,,,,,,,,,,
,,,AGUA SANTA - 1,,,90,Point (-71.54177314361746198 -33.09284304180564362),Consumer,,,,,,,,,,,,
,,,AGUA SANTA - 2,,,79,Point (-71.55311196434604426 -33.06258591412942849),Consumer,,,,,,,,,,,,
,,,AGUAS BUENAS,,,151,Point (-71.59959896448211225 -33.59326609048763856),Consumer,,,,,,,,,,,,
,,,AGUAS CLARAS,,,171,Point (-70.84374848793025592 -33.310438523088024),Consumer,,,,,,,,,,,,
,,,ALEJANDRO NAVARRETE,,,24,Point (-71.52823844079296123 -32.98746098377920788),Consumer,,,,,,,,,,,,
,,,ALGARROBO,,,129,Point (-71.65504675117689715 -33.36356923136444408),Consumer,,,,,,,,,,,,
,,,ALGARROBO NORTE,,,154,Point (-71.62678327536663403 -33.30423206434822703),Consumer,,,,,,,,,,,,
,,,ALVAREZ,,,51,Point (-71.54886301900351953 -33.03139577114684045),Consumer,,,,,,,,,,,,
,,,ARLEGUI,,,34,Point (-71.56105966384050987 -33.02270581515000458),Consumer,,,,,,,,,,,,
,,,ARTIFICIO,,,167,Point (-71.1887980781675509 -32.77297051531107286),Consumer,,,,,,,,,,,,
,,,BALANDRAS,,,172,Point (-71.68192148751246862 -33.37815240173122078),Consumer,,,,,,,,,,,,
