name,v_nom,x,y
774,110,262794.9995999994,6337263.017000003
774_220kV,220,262796.9996,6337263.017000001
775,66,257976.09999999983,6308359.6
776,220,292515.99979999964,6269795.016000001
776_110kV,110,292517.99980000046,6269795.016000001
1692,110,264628.0980000003,6353314.399
777,66,274886.9997000003,6311147.017000001
291,110,268767.9997000002,6353736.017000001
200,110,250127.99949999963,6334031.017999999
200_66kV,66,250129.99949999966,6334031.017999999
256,220,267168.9996999996,6369386.017000001
1791,110,326482.8635999998,6338107.343
565,220,339181.00000000023,6300595.013999999
780,110,268664.0799999995,6353411.100000001
845,66,254887.99949999957,6298188.017999999
956,110,267009.0000000006,6370558.000000001
846,66,250843.9994999991,6302750.017999999
847,66,256557.99959999995,6304015.018000001
1990,110,311733.99999999977,6364271.0
643,110,271354.9997,6277520.017000001
787,110,259243.99960000027,6340324.017999999
137,110,262156.9995999994,6343141.017000001
949,110,266626.99970000045,6353949.017000001
788,110,264152.99959999963,6342019.017000001
605,220,291310.99979999976,6377579.015000001
240,220,267420.88759999943,6373795.045
1757,110,282595.16000000015,6341009.45
790,110,261243.19599999956,6333776.380000001
791,110,252673.99949999963,6340781.017999999
711,220,326526.99999999965,6325409.0
711_525kV,525,326528.9999999999,6325409.0
586,220,289742.99980000034,6351736.016000001
586_110kV,110,289744.9998000002,6351736.016
792,110,273680.99970000057,6341660.017000001
792_44kV,44,273682.9996999995,6341660.017000001
793,66,252068.9994999998,6322344.017999999
794,110,267290.9999999994,6373561.0
795,110,263683.99959999975,6348069.017000001
798,66,258481.99959999946,6279006.017999998
798_110kV,110,258483.9996,6279006.017999999
848,66,258646.99960000007,6304924.017999999
615,220,283397.9997999986,6353225.016
204,110,288289.9997999995,6353544.016
802,66,258725.9995999998,6288229.017999999
1746,220,323593.9979000004,6298316.993999999
1746_525kV,525,323595.99790000037,6298316.993999999
1128,44,264965.99999999965,6341056.0
1130,44,258002.15400000042,6342108.536
1129,44,278353.2430000006,6341498.943
206,110,268886.9996999998,6353071.017000001
804,110,255203.99960000033,6339521.017999998
207,110,267489.99970000004,6373804.017000001
207_220kV,220,267491.9997000005,6373804.017000001
62T,220,293553.4689999996,6269516.843999999
26T,110,338776.0189999999,6317697.392000001
1098,110,265022.9996000002,6342216.016999999
1099,66,258704.99960000018,6304901.017999999
1552,110,269001.9729999994,6372078.736
1114,66,254802.9995000004,6303449.017999999
1102,110,298360.99980000034,6362677.015000001
995,110,329534.0699000004,6334037.054000001
1106,66,254361.99950000015,6321332.017999999
65T,110,260082.74499999915,6338901.190000001
66T,110,254550.85399999958,6337524.004000001
67,110,272690.4379999989,6345105.142999999
69T,110,266449.55599999893,6347986.265000001
73T,66,260022.0970000001,6289060.227999999
74T,110,254704.9989999983,6337722.0
