name,bus0,bus1,x,r,s_nom
57,207,206,4.07,0.9,162.82
163,207,794,0.04,0.01,115.84
213,207,956,0.78,0.26,82.88
395,1552,207,0.45,0.06,215.94
395_B,204,1552,6.17,0.85,215.94
53,206,788,2.68,0.59,162.82
982,204,1757,7.12,2.9,87.65
47_1,204,67,7.57,4.25,87.65
750,67,792,0.7,0.4,175.3
983_1,1757,67,6.83,2.78,87.65
1151,67,1098,1.66,0.94,175.3
1135,1098,788,0.18,0.1,175.3
314,788,137,0.52,0.23,161.16
815,1098,69T,2.7,1.8,48.9
820,69T,795,1.22,0.81,48.9
564,69T,780,2.62,1.81,48.9
615,206,780,0.05,0.02,76.82
642,206,949,0.89,0.56,159.09
567,774,788,1.16,0.16,142.09
569,774,790,1.75,0.97,69.86
565_1,774,65T,0.77,0.16,142.09
565_1B,65T,787,0.36,0.25,48.9
565_2,65T,74T,2.29,1.19,76.82
565_2B,74T,804,0.41,0.35,42.5
565_3,74T,66T,0.05,0.02,76.82
565_3B,66T,791,1.07,0.74,48.9
565_4,66T,200,1.3,0.89,97.8
576_1,200_66kV,1106,2.84,2.22,54.84
785,1106,793,1.09,0.79,30.37
576_2,1106,775,2.86,2.23,54.84
576_3,775,1099,0.77,0.6,54.84
576_3B,1099,777,4.02,3.75,49.58
576_4,1099,73T,3.4,2.66,54.84
576_4B,73T,802,0.43,0.31,30.0
576_5,73T,798,2.38,1.84,54.84
735,1099,848,0.004,0.005,25.35
728,848,847,1.07,1.37,25.35
751,847,1114,0.72,0.91,25.35
753,1114,846,1.7,2.15,25.35
752,1114,845,2.35,2.94,27.79
850,643,798_110kV,6.58,1.92,126.32
1652,776_110kV,798_110kV,16.53,4.81,126.32
779,776_110kV,643,9.96,2.9,126.32
588,62T,776,0.19,0.06,203.24
212,62T,1746,9.52,2.07,197.39
856,1746,565,4.01,0.87,197.39
146,565,711,6.36,1.43,310.18
203,711,586,7.87,0.465,1098.95
210,586,605,5.86,1.26,223.68
41,240,605,4.55,0.55,29.86
934,565,26T,3.91,0.93,152.23
934_1,26T,995,3.57,0.85,152.23
200,995,1990,14.09,3.37,76.12
934_2,995,1791,14.09,3.37,76.12
1786,1990,1791,12.09,2.89,76.12
1268,711_525kV,1746_525kV,7.78,0.68,1803.65
587,204,586_110kV,0.45,0.04,280.71
192,605,711,17.55,2.4,1595.01
936,615,586,0.893,0.039,1973.85
43,615,774_220kV,4.77,0.82,389.03
133,256,615,10.59,0.98,525.09
1574,780,1692,1.91,0.99,76.82
100,291,206,0.27,0.06,125.94
45_1,204,1102,2.96,0.45,192.38
45_2,1102,1990,2.52,0.38,192.38
1132,792_44kV,1128,4.16,2.66,32.07
1133,792_44kV,1129,1.89,1.81,21.25
1134,1128,1130,5.46,5.8,21.25
NV_V,240,207_220kV,0.08,0.06,300.0
